protein,chain,group
1KHD,A,alpha
1R76,A,alpha
1LRZ,A,alpha
1T33,A,alpha
1QZZ,A,alpha
1RP3,A,alpha
1NQ7,A,alpha
2ELC,A,alpha
2IVX,A,alpha
1EVY,A,alpha
2HBJ,A,alpha
1QUU,A,alpha
1Z05,A,alpha
1DLJ,A,alpha
1KWF,A,alpha
1XNF,A,alpha
3DBY,A,alpha
1B89,A,alpha
2FEF,A,alpha
1R2J,A,alpha
2D4C,A,alpha
1TXG,A,alpha
1W85,A,alpha
2Q0T,A,alpha
1FP2,A,alpha
1OUV,A,alpha
1SET,A,alpha
1WU4,A,alpha
2GNO,A,alpha
2HKJ,A,alpha
1SIG,A,alpha
2FNA,A,alpha
3D19,A,alpha
1L7C,A,alpha
1H12,A,alpha
1HV6,A,alpha
1IO7,A,alpha
1XSZ,A,alpha
1FBV,A,alpha
1T1R,A,alpha
1OYZ,A,alpha
1V5D,A,alpha
1Y2O,A,alpha
1L8Q,A,alpha
1QI9,A,alpha
1RTR,A,alpha
1T98,A,alpha
1PS1,A,alpha
1VQR,A,alpha
1WIY,A,alpha
1MV8,A,alpha
2B4V,A,alpha
2CVC,A,alpha
1R89,A,alpha
1IJ5,A,alpha
2D8L,A,alpha
1E3H,A,alpha
1GAI,A,alpha
1JEQ,A,alpha
2F2A,A,alpha
1N40,A,alpha
1Q0Q,A,alpha
1RX0,A,alpha
1XQR,A,alpha
1XZP,A,alpha
2HEK,A,alpha
1VJ7,A,alpha
1V4E,A,alpha
1JR3,A,alpha
2FYU,A,alpha
1JFB,A,alpha
1FNN,A,alpha
1IQP,A,alpha
1MTY,B,alpha
1DNP,A,alpha
1S64,A,alpha
1SXJ,A,alpha
1Q79,A,alpha
1WER,A,alpha
1Q5D,A,alpha
1UED,A,alpha
2AWI,A,alpha
2D29,A,alpha
1QQE,A,alpha
2OND,A,alpha
1BVY,A,alpha
1QO8,A,alpha
1IA6,A,alpha
1OAH,A,alpha
1SO2,A,alpha
1W5S,A,alpha
2EFK,A,alpha
1BUC,A,alpha
1UOU,A,alpha
1VNS,A,alpha
1X9D,A,alpha
1Y0P,A,alpha
1WVE,A,alpha
2H6F,A,alpha
2JAK,A,alpha
1IQR,A,alpha
1FCH,A,alpha
1N00,A,alpha
1SQG,A,alpha
1SYY,A,alpha
1JSW,A,alpha
2AJA,A,alpha
1KF6,A,alpha
1Y2K,A,alpha
3DHZ,A,alpha
1QZX,A,alpha
1FP3,A,alpha
1MXR,A,alpha
1YT3,A,alpha
1PGJ,A,alpha
1HSJ,A,alpha
1QHB,A,alpha
1RQB,A,alpha
1W9C,A,alpha
2BNX,A,alpha
1DOF,A,alpha
1KS8,A,alpha
1KP8,A,alpha
1OYW,A,alpha
1TBF,A,alpha
2G77,A,alpha
1NXC,A,alpha
2HHP,A,alpha
3DY8,A,alpha
1SR9,A,alpha
2FOK,A,alpha
3CKC,A,alpha
1IB2,A,alpha
2O8R,A,alpha
1R6T,A,alpha
1UPK,A,alpha
2RI9,A,alpha
3CGH,A,alpha
1TAZ,A,alpha
1RM6,A,alpha
1UG3,A,alpha
2FBA,A,alpha
2D5B,A,alpha
1IRX,A,alpha
1J09,A,alpha
1LJ8,A,alpha
1NP7,A,alpha
2G0D,A,alpha
2IJ2,A,alpha
2JG0,A,alpha
1DL2,A,alpha
1V4A,A,alpha
1U6Z,A,alpha
1XDP,A,alpha
1JNR,A,alpha
1AOZ,A,beta
1KV9,A,beta
2PR9,A,beta
1JJU,A,beta
1V7W,A,beta
1LF6,A,beta
1O75,A,beta
1WD3,A,beta
1G7S,A,beta
2QQI,A,beta
3BMV,A,beta
1JMX,A,beta
1VCL,A,beta
1WKR,A,beta
1OYG,A,beta
1UH9,A,beta
1JI6,A,beta
2P5Z,X,beta
1XFD,A,beta
1TDQ,A,beta
1V3E,A,beta
1RWR,A,beta
2IX0,A,beta
1D2P,A,beta
1O6G,A,beta
1SO7,A,beta
1PJ5,A,beta
1USR,A,beta
2BV3,A,beta
1OJN,A,beta
1CS6,A,beta
1L0Q,A,beta
1YVU,A,beta
2DF7,A,beta
1EI5,A,beta
2EYQ,A,beta
2HU7,A,beta
2PHL,A,beta
2DY1,A,beta
1VH4,A,beta
1TXK,A,beta
2F2H,A,beta
1W7C,A,beta
1U04,A,beta
2Q3Z,A,beta
1X1I,A,beta
1I5P,A,beta
1K1X,A,beta
1F1S,A,beta
1OLZ,A,beta
2QQM,A,beta
1OGM,X,beta
2EBS,A,beta
2SLI,A,beta
1Y4W,A,beta
1G0D,A,beta
2JE8,A,beta
1CWV,A,beta
1W6G,A,beta
1Y5I,A,beta
1OAC,A,beta
1ULV,A,beta
1W2Z,A,beta
